name,IAUID,ra,dec,peakt,peakfilt,peakmag,peakabs,duration,rise,fade,type,redshift,b,A_V
ZTF20aazpwen,SN2020kbl,16:15:16.24,+21:05:36.0,991.79,r,18.9213,-18.98,22.831,7.81,15.021,SN Ia,0.079,43.40360969,0.247
ZTF18abfdupq,SN2018fhe,19:50:48.24,+64:55:22.6,350.88,r,18.6853,-18.95,17.548,7.158,10.39,SN Ia,0.068,18.44433453,0.335
ZTF18ablqlzp,SN2018fbh,15:36:31.98,+41:47:59.5,350.65,r,17.408,-18.94,24.185,9.167,15.018,SN Ia,0.0414,53.37597097,0.091
ZTF18abmogag,SN2018fdy,00:53:13.01,+20:42:52.8,346.87,g,18.6272,-19.26,>17.671,>2.95,14.721,SN Ia,0.0823,-42.15500701,0.085
ZTF18acbvgqw,SN2018htt,03:06:02.90,-15:36:41.7,441.75,g,13.9113,-19.07,25.333,10.316,15.017,SN Ia,0.00867,-56.74296387,0.101
ZTF18acxijqw,SN2018kgv,00:54:27.62,+24:37:43.9,481.80,r,18.2805,-19.54,30.346,18.495,11.851,SN Ia,0.08,-38.23765789,0.123
ZTF19aadnxgj,SN2019vv,15:34:03.63,+02:12:39.9,513.03,r,17.3188,-18.64,26.953,13.464,13.489,SN Ia,0.0342,43.81004945,0.13
ZTF19aamkywr,SN2019byw,17:05:08.58,+07:59:26.0,568.94,g,17.0073,-18.86,>21.671,>10.96,10.711,SN Ia,0.03034,27.23602201,0.236
ZTF19aamtima,SN2019bxe,03:11:40.76,+36:04:09.7,560.63,r,18.6049,-18.50,>5.757,5.727,>0.03,SN Ia,0.04602,-18.68586572,0.727
ZTF19aavhxby,SN2019fzm,14:56:32.88,-02:06:23.1,642.80,g,16.1908,-19.02,23.346,9.928,13.418,SN Ia,0.02313,48.01889868,0.179
ZTF19abqrrto,SN2019oci,03:43:12.89,+40:09:56.1,732.99,r,17.5187,-19.30,27.226,12.24,14.986,SN Ia-91T,0.04,-11.75600872,0.754
